,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
47,Lake Valley,Sense Maker,Sense Maker,3Vd1Teq0uRyxW5wwUImAcn,0.642,0.584,10,-7.528,1,0.0368,0.796,0.088,0.052,89.985,155000,4
48,baegel,"It's Bedtime Honey, Put Your PJs On",Probably Yet Unfortunately,3nLH6CUjmqRcTViy3UeVw3,0.593,0.262,5,-8.024,1,0.0343,0.859,0.0964,0.339,80.914,126745,4
49,Los Bosques,Viento de Arrabal,Viento de Arrabal,6pO0m7Cf1AhEBKHcS4yH05,0.678,0.424,9,-11.997,0,0.065,0.851,0.0804,0.438,172.157,125581,4
50,Ozoyo,Hello Planta,Hello Planta,2exLnxLChIibXNuR7VjdBF,0.642,0.826,6,-7.836,0,0.0922,0.512,0.429,0.357,116.026,128276,4
51,Lukas Got Lucky,Lunchbox,Lunchbox,4HLiRjP724PGR9wWRD5EBB,0.646,0.6,4,-5.103,0,0.0311,0.822,0.176,0.288,81.026,217634,4
52,Singexi,Lo-Fi Grinder,Lo-Fi Grinder,1gChm0wIt5EzsegHaw11iL,0.733,0.451,0,-11.647,1,0.0653,0.253,0.103,0.278,80.013,112781,4
53,Tall Roots,Step at a Time,Step at a Time,1J9yoEKfFYn63XF7Ml0IMd,0.345,0.555,5,-8.784,0,0.104,0.836,0.237,0.336,75.267,153800,4
54,oopiie,Salt,Salt,7pBSIcM1RHRkBLhDE6UJSg,0.696,0.288,2,-13.613,1,0.0384,0.941,0.106,0.306,170.017,137647,4
55,Assistant Manager,Working From Home,Working From Home,0uHOaloc8zRTmkvFKFG0cF,0.72,0.217,6,-16.399,1,0.0856,0.396,0.159,0.411,86.018,125581,4
56,"Sarah, the Illstrumentalist",Golden Skin,Golden Skin,2WIkgLazRptoY6fxVmhoGA,0.795,0.39,7,-7.281,1,0.221,0.834,0.117,0.579,92.018,129135,4
57,Silvana,White Dunes,Miss lavii,4UpMl0ADAnyeLBM1TGbqtu,0.719,0.242,10,-9.429,1,0.147,0.927,0.213,0.278,150.015,102400,4
58,Mike Oliver,Crystals,Crystals,224u5HmiQxK7tQLWrFGdrF,0.745,0.374,10,-11.203,0,0.0564,0.905,0.105,0.636,79.999,127579,4
59,Various Artists,Bossa Beats (Vol. 1),Agua De Beber - uChill Remix,5QAY65yveq7KhgbImmiIiL,0.853,0.557,8,-7.928,1,0.0902,0.896,0.173,0.821,146.956,135510,4
60,beauBAE,In Perpetuum,In Perpetuum,3ImHLPyqf739WgzXKjPqfU,0.657,0.635,11,-8.43,1,0.297,0.834,0.117,0.689,80.05,112500,4
61,Muerto A Puntapiés,Call me,Call me,0uphcJxEE2Slw2kg2Zo1PC,0.689,0.197,4,-13.627,1,0.0507,0.722,0.106,0.0749,143.929,118167,4
62,Koti6,Unguarded Travelin',Unguarded Travelin',4OYS4H9fVFGK87WtC32qmL,0.634,0.46,3,-12.4,0,0.471,0.929,0.338,0.923,159.971,169500,4
63,ᴄᴀᴍᴏᴍɪʟʟᴀ,A Cup of Camomilla,Too Lazy,0dpiqzuKFe5RPFEA38bQ0V,0.668,0.398,1,-11.97,1,0.147,0.92,0.108,0.0328,91.099,87000,4
64,gummy3000,SAKURA,SAKURA,2CyocAM5pT88oWHLUGSLyy,0.664,0.695,5,-8.809,1,0.0424,0.852,0.117,0.446,87.143,122333,4
65,Fthmlss,Prism,Prism,4iwNOeW271qaVuNllTe0d7,0.457,0.236,6,-14.837,0,0.23,0.0492,0.542,0.191,83.967,142000,4
66,Monster Rally,Phthalo Blue,Phthalo Blue,7Dqa3SfYPUz22NzMXd4ThA,0.423,0.588,10,-9.923,1,0.0474,0.306,0.137,0.459,201.217,197295,3
67,Kubuch,Night calls,Night calls,6HjyOO1toy7MTglP2QrYVV,0.73,0.242,0,-12.898,1,0.0432,0.628,0.107,0.0473,139.985,140696,4
68,Morris Hardin,Get Out,Get Out,0MAif0IWxKhkrpgUP6wceY,0.602,0.214,10,-20.521,0,0.0525,0.934,0.114,0.315,168.039,117143,4
69,Damn Homies,Nothing But Net,Nothing But Net,55WjPayn3MNHh8qPhGDwVw,0.672,0.462,5,-7.294,0,0.103,0.516,0.128,0.826,81.88,114146,4
70,Tohaj,Tanami,Tanami,1bRH5xHWwotEtn3zMujkie,0.708,0.424,7,-10.868,1,0.0437,0.667,0.111,0.442,93.53,174452,4
71,B-Side,Plateau,Plateau,0XbufSnr1JuJ82kGqucmMw,0.535,0.404,2,-7.676,0,0.0616,0.584,0.112,0.52,78.512,161061,4
72,Masaki Hori,mel,mel,31YjDLgqKDOwhrvWVfjvnT,0.701,0.343,5,-10.237,0,0.179,0.923,0.0818,0.49,80.186,152267,4
73,Leo Motta,Golden Clouds,Golden Clouds,71diIhkJKn0xmL7bSdq7HN,0.655,0.308,7,-11.239,0,0.0349,0.703,0.114,0.411,172.005,101600,4
74,Fthmlss,Anxious,Anxious,2LYopzPfntS0aPLCOBr0xH,0.594,0.436,10,-13.633,0,0.174,0.366,0.0752,0.217,77.076,149623,3
75,Lito Akari,Izumi,Izumi,6JmZZ71fB9PRiSe3pUclSp,0.533,0.525,11,-13.195,0,0.121,0.887,0.138,0.183,126.132,106667,4
76,Kasimir,Kasimodo,Kasimodo,7pgD39CGSkncKQWi2jjVce,0.736,0.322,3,-16.183,0,0.0506,0.95,0.113,0.55,80.004,99000,4
77,Mujo,Bouncing Lemons,Bouncing Lemons,604c3bQGYjDmDbiYeR8aeK,0.504,0.532,7,-9.454,1,0.18,0.617,0.0689,0.454,136.043,126072,4
78,Pearldiver,Closed Eyes,Closed Eyes,0eE5eceODQO7W3vwQ3Hrs2,0.761,0.175,3,-16.462,1,0.0634,0.823,0.076,0.169,136.007,143824,4
79,Guzimi,Kalmar,Kalmar,1yhh5r0KAAWbcFDKG9tu0L,0.65,0.323,9,-14.724,0,0.0493,0.794,0.11,0.449,83.936,148571,4
