,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
59,Kaito Shoma,Force of Nature,Force of Nature,1tU8uSGm5STmi3FPJ3VnUc,0.694,0.968,6,-1.811,1,0.26,0.0111,0.143,0.172,94.996,208421,4
60,V21,Mayday,Mayday,1O3hr0mThUv1YxRKzG0PNL,0.67,0.666,2,-6.813,1,0.12,0.737,0.0879,0.463,158.968,140393,4
61,Pharmacist,Milky Way,Milky Way,34K4IIR6XAUURjcSyrfTgO,0.737,0.669,5,-12.267,1,0.0746,0.769,0.0999,0.148,106.981,126110,4
62,XHNORT,レプリカント,レプリカント,6oZBKswWQOIk3b2O9aWHQz,0.769,0.642,1,-11.895,1,0.0458,0.875,0.069,0.0615,118.021,166096,4
63,HOSPICEMANE,DREAM,DREAM,1CImTSCf5OK1OnREaqO2zz,0.74,0.739,10,-6.222,1,0.0491,0.724,0.109,0.108,120.001,136068,4
64,KUTE,Love Bound,Love Bound,6SBvZsLtZY8oRwAvPfSRcc,0.526,0.925,5,-6.579,0,0.148,1.93e-06,0.165,0.18,121.041,191405,4
65,CREEPYMANE,Long Nights,Long Nights,1cek3DyJrBWPlbqjvdBqqh,0.544,0.853,10,-5.854,0,0.0342,0.175,0.137,0.207,99.997,153600,4
66,7oh2,6IXSPEED,6IXSPEED,56Kb55Pzodbj5cGJcyZW1W,0.469,0.822,10,-4.587,0,0.0701,0.236,0.183,0.276,166.899,149394,4
67,$werve,REVENGE,REVENGE,0MAZBh1x1lJY3ZnbtecLef,0.642,0.987,4,-1.698,0,0.0342,0.377,0.099,0.534,113.996,138953,4
68,DVRST,Endless Love,Endless Love,49eccJME4fYJnOwCmJMXfV,0.574,0.774,5,-4.882,0,0.0507,0.834,0.187,0.0681,192.963,179067,4
69,PRXSXNT FXTURE,Rainy Night Drive,Rainy Night Drive,5gbzQN044AiB69UiVuc6qZ,0.734,0.541,1,-9.867,1,0.0469,0.51,0.343,0.0715,99.988,159812,4
70,MXRGX,GET AWAY II,GET AWAY II,4QOhfu7ZdD8PEXRhFjOIT1,0.587,0.857,5,-4.891,0,0.0346,0.739,0.113,0.29,160.023,192000,4
71,V21,Escape,Escape,2LC9pdrPbX0c87YjT9S87F,0.792,0.725,0,-7.33,1,0.194,0.89,0.788,0.402,113.977,94117,4
72,Hensonn,Prey,Prey,0Vb8N6TTgBOuoksYRRsu2h,0.653,0.832,8,-7.36,1,0.177,0.0486,0.163,0.469,160.001,175394,4
73,STXRZ,Faith,Faith,4zlRLGntMJUQvPNVCNjvPk,0.625,0.735,7,-6.969,0,0.0557,0.953,0.116,0.159,164.964,125716,4
74,HXVRMXN,FROZEN HEIGHS,SNOWFLIGHT,7cZVKKjHHIig2CruOcSM8P,0.712,0.944,7,-2.559,0,0.0697,0.00533,0.184,0.544,159.985,163971,4
75,Hikki Gaya,Phonk Save the World,Phonk Save the World,7G07J1fpapkm5j9XsE3C1W,0.64,0.891,4,-7.732,0,0.0346,0.916,0.188,0.0746,119.999,123208,4
76,DVRST,A Little Story,A Little Story,0BfsBGWWesSZnEwiwu9Nw3,0.675,0.84,1,-5.186,1,0.0436,0.844,0.305,0.768,160.03,123000,4
77,Ghostface Playa,Loco Killas,Jumpin' In Da Truck,2ijPvqzTcd1lxBgca2xo83,0.717,0.954,1,-1.911,1,0.0397,0.0115,0.0926,0.565,119.999,160000,4
78,FORGOTTENAGE,YOUR SMILE,YOUR SMILE,1TDCt6qpnBhxGctJsgB1yg,0.662,0.832,1,-4.392,0,0.0493,0.177,0.134,0.254,104.929,146286,4
79,SXGXVX,Russia Vip,Russia Vip,5d8MfJPpikbG256a32qRy7,0.649,0.974,10,-4.05,0,0.0722,0.916,0.36,0.403,195.048,120615,4
80,FISTICALE,ENDLESS DRIVE,KRYPTIC TYPE,2Cge0P573ppMqoHINh6k3r,0.807,0.779,6,-3.51,0,0.282,0.137,0.223,0.528,127.92,127404,4
81,Ya$h,MAXIMUM CARNAGE,MAXIMUM CARNAGE,5nvYmDXNwa6ZINW08V2e4I,0.615,0.927,11,-2.423,0,0.0832,0.818,0.129,0.656,179.098,147014,4
